iter	Passed	Remaining
0	1	817
1	2	667
2	3	645
3	5	730
4	7	702
5	8	668
6	9	659
7	10	653
8	12	656
9	12	620
10	13	590
11	14	570
12	15	573
13	16	575
14	17	574
15	18	558
16	19	543
17	20	545
18	22	558
19	23	561
20	24	556
21	25	554
22	27	575
23	28	572
24	30	584
25	32	597
26	34	600
27	35	603
28	37	603
29	37	592
30	38	584
31	39	577
32	40	568
33	40	561
34	41	552
35	42	543
36	43	541
37	44	535
38	45	534
39	46	529
40	46	521
41	47	513
42	47	505
43	48	501
44	49	500
45	51	504
46	52	501
47	52	498
48	53	493
49	54	493
50	56	493
51	57	491
52	57	488
53	58	487
54	60	485
55	60	483
56	61	478
57	62	476
58	63	472
59	64	471
60	65	470
61	66	469
62	68	472
63	69	471
64	70	470
65	73	481
66	74	478
67	74	476
68	75	473
69	76	468
70	76	464
71	77	460
72	78	457
73	78	454
74	79	451
75	80	447
76	80	443
77	81	439
78	81	436
79	82	432
80	83	430
81	84	429
82	87	438
83	88	439
84	89	438
85	90	435
86	91	434
87	92	431
88	92	428
89	93	425
90	94	422
91	94	420
92	95	419
93	96	417
94	97	415
95	97	412
96	98	409
97	99	408
98	100	407
99	101	406
100	102	405
101	103	403
102	108	417
103	109	415
104	109	412
105	110	410
106	111	408
107	111	406
108	112	403
109	112	400
110	113	398
111	114	396
112	115	394
113	116	393
114	118	397
115	120	398
116	121	396
117	122	395
118	123	393
119	123	392
120	124	389
121	125	387
122	125	384
123	126	382
124	126	379
125	127	377
126	127	375
127	128	374
128	129	372
129	131	373
130	131	371
131	132	369
132	132	366
133	133	365
134	134	364
135	135	361
136	135	360
137	136	358
138	137	356
139	137	354
140	138	352
141	139	350
142	139	348
143	140	347
144	141	345
145	141	343
146	142	341
147	142	339
148	143	337
149	143	335
150	144	333
151	145	332
152	146	331
153	146	329
154	147	327
155	147	325
156	148	323
157	148	321
158	149	319
159	149	318
160	150	316
161	151	315
162	151	314
163	152	313
164	153	311
165	154	310
166	154	308
167	155	306
168	155	305
169	156	303
170	157	302
171	157	300
172	158	298
173	158	297
174	159	296
175	159	294
176	160	292
177	160	290
178	161	289
179	161	287
180	162	286
181	163	285
182	163	283
183	164	282
184	164	280
185	165	278
186	165	277
187	166	275
188	166	274
189	167	272
190	167	271
191	168	270
192	169	270
193	170	269
194	171	268
195	171	266
196	172	265
197	173	264
198	174	264
199	175	263
200	176	262
201	177	261
202	178	261
203	179	260
204	181	261
205	183	261
206	185	262
207	187	263
208	188	261
209	188	260
210	189	259
211	189	257
212	190	256
213	190	255
214	192	255
215	193	254
216	194	253
217	195	253
218	196	252
219	198	252
220	199	251
221	200	250
222	200	249
223	201	248
224	202	247
225	203	247
226	205	246
227	205	245
228	206	244
229	207	243
230	208	243
231	209	242
232	211	242
233	212	241
234	213	240
235	213	238
236	214	238
237	215	237
238	216	236
239	216	235
240	217	233
241	218	232
242	218	231
243	220	230
244	223	232
245	224	231
246	225	230
247	226	229
248	226	228
249	227	227
250	227	226
251	228	224
252	228	223
253	229	222
254	229	220
255	230	219
256	231	219
257	232	218
258	233	216
259	234	216
260	234	215
261	235	213
262	235	212
263	236	211
264	237	210
265	237	209
266	238	208
267	239	206
268	239	205
269	240	204
270	240	203
271	241	202
272	242	201
273	242	200
274	243	199
275	244	198
276	244	197
277	245	196
278	246	194
279	246	193
280	247	192
281	248	192
282	249	191
283	250	190
284	250	189
285	251	188
286	251	186
287	252	185
288	252	184
289	253	183
290	254	182
291	255	181
292	255	180
293	257	180
294	258	179
